label,text
0,"Au moins, le télémundo pourrait laisser son bébé en vie. Au moins, ils pourraient laisser quelque chose de santos et de barbara!"
0,C'est seulement pour nous et le canada
0,"Mes cours annuels au conservatoire l'année prochaine vont être, 000"
0,"Je déteste voir mon père, il dépense beaucoup sur mon mari et moi; Rien sur moi"
0,Je ne te vois plus
0,"Je pense que vous avez besoin de quelqu'un qui vous encourage sérieusement, je souhaite pouvoir vous aider"
0,"Hpe note haha. Et nopee - tous mes amis sont en vacances lol, vous?"
0,Je ne me sens pas comme finir le travail aujourd'hui ...
0,"Je viens voir l'émission ce soir, ça va être incroyable, je ne peux pas croire que ça se termine"
0,Ne pouvait pas finir
0,"Donc, désolée, effting gout."
0,"Je viens de rentrer de vacances, je range maintenant ma chambre en désordre et c'est trop chaud à l'extérieur!"
0,Se lever à 7h du matin en été est tellement boiteux.
0,"C'est une douleur comme si quelqu'un est mort et ça fait mal, il est toujours en vie, mais est allé comme s'il était mort avec un souci de dire pardon, je suis tellement hu"
0,Le compte à rebours a commencé! 5 jours à parcourir!
0,Et nawhh & gt; & lt; Je ne veux pas être 19 ... lol
0,"Il est 4:40 dans la n je suis en train de me sentir bien. Bummer, je n'ai pas vu Miley cependant"
0,"Donc, désolée, effting gout."
0,Faire des devoirs! Je déteste pe c'est si tellement tellement mauvais lol
0,Travaillant samedi
0,"Chers murs, plz, arrête de tourner ... Ma tête me fait vraiment mal de regarder un film ou pas vraiment"
0,"Non, pas aujourd'hui, je dois attendre un rendez-vous, je souffre un peu mais j'espère que ça va bientôt x"
0,"J'adorerais la diversité ou stavros flatley pour gagner, mais j'ai du mal à croire que boyle ne gagnera pas"
0,Grignoter des bretzels et coca-cols ...
0,"Terriblement malade, je ne suis même pas une gueule de corne ... bien que ma mère m'a demandé si j'étais. C'est vraiment une merde"
0,C'était une soirée dure hier et maintenant je me sentais pas si bien
0,"Très malade. Mais est également tellement confus à propos des choses, et est frustré à ce propos."
0,pas encore...
0,"Deirdre & amp; Sinead sont en Amérique, caitriona, katie & amp; Les aisling sont en France ... & amp; Je suis coincé ici"
0,Je veux aussi m'asseoir dans le jardin
0,"Personne n'a pensé à me dire que kyle xy était sur bbc2 à nouveau, j'ai manqué toute la série"
0,Tôt et mal à l'aise.
0,"Je sais ce que je dois faire, mais je ne sais pas comment ..."
0,"Tout le chemin de fer est fessé aujourd'hui, à cause d'un suicide asswipe marchant sur les pistes"
0,Tout est mangé avec de l'avoine ... je n'avais pas de gâteau au chocolat ni de crème glacée
0,Sortit pour monter avec mon fils dans la fureur r1. Les indicateurs échoués ont dû conduire comme un pilote bmw. S'est avéré être un fusible soufflé.
0,N'a pas la chaîne de tennis ici en Inde. Maintenant.
0,Donc je suis prêt et prêt ... juste sur le point de se diriger vers le lieu pour les répétitions et la vérification du son ... je veux avoir un barbecue mais xx
0,Wah! Je suis au travail trop chaud! Veux-tu aller au parc?
0,"Juste mangé des sugapuffs mmmm! J'ai trouvé la voiture parfaite, je dois sauver maintenant boo hoo!"
0,A les rêves les plus étranges ... n ils sont de plus en plus ...
0,Prendre un verre à la cuillère. Une heure jusqu'à l'arrivée des aliments.
0,Va enfin nettoyer mon agnes b. Il se présente comme un sac bon marché
0,Je n'ai pas besoin de ce stress supplémentaire maintenant
0,"Matin! Oui, le jardin est bon. Mais nous avons séjourné des clients pour que les besoins de la maison soient aussi nettoyés."
0,Je me demande quelle sera la fin du mini 9 pour les coûts de remplacement ssd ... peut-être qu'ils ne vont pas aussi loin que ce que nous avions espéré.
0,"Les démons ont sucé dans la deuxième moitié ah bien, une autre perte plus proche d'un prélèvement prioritaire est une consolation."
0,Est tellement endormi et ne veut pas travailler aujourd'hui
0,"Merde, j'ai négligé mon Twitter"
0,Bien espionné ;-) il sera nettoyé plus tard. Il est poussiéreux et a des poires / empreintes d'oiseaux partout ...
0,Personne n'aime greg (via)
0,"Soudainement, se demandant s'il pensait à moi, plutôt que de continuer à deviner chaque coïncidence, nous lui avons manqué"
0,Java uploader ne fonctionne pas sur fb. J'utilise le plus simple ...
0,"J'espère que je le verra & lt; 3 demain avant de revenir à la région de yay pendant une semaine. Oh, comment je vais le regretter pendant que je serai parti"
0,"Aujourd'hui, notre dernier jour à Orlando, à partir du resoand puis à la mer. Je vois voir shamu!"
0,Pourquoi suis-je réveillé tôt?
0,Permettez-moi d'épeler ce droit ... j'espère pas haha. Et nopee - tous mes amis sont en vacances lol youu?
0,Je vais au lit. Tellement fatigué. Début de la saison.
0,je connais. je l'ai lu. Maintenant je veux le chapitre 11 !! Haha Im impatient ...
0,Je ne trouve pas mon ipod!
0,Il reste 10 jours jusqu'à ce que mon gars revienne de son voyage en Australie et en Asie! Je suis vraiment enthousiaste!! Elle est partie il y a un an ... j'aime l'amour à tous xx
0,- si c'est à quoi ressemble-tu ... je ne peux plus être ton ami ... désolé
0,sans multiplier! (Sick)
0,je souhaite
0,Mon bb déteste cette page que je vais regarder plus tard. Je devrais avoir mes deux grs de sommeil avant de travailler
0,"De grands ensembles d'images, je vous enverrai quelques-unes des miennes, j'ai des vids, mais je ne peux pas travailler"
0,"Oh chérie, il pleut à l'extérieur. Tellement pour manger bientôt. Devine, il faudra attendre! (Et apparemment mon dernier article était une ancienne nouvelle.)"
0,j'ai attrapé un rhume
0,"Pas moi, c'est génial?"
0,"Je vis au Vietnam, puis-je demander la publication d'un contrôle par Western Union? Aidez-moi, s'il vous plaît ? Il me faut 2 mois pour recevoir de l'argent maintenant"
0,"Sentant malheureusement malade et dans une si belle journée. De retour à une pièce sombre, je vais"
0,"Il est superflu que nous ayons une présentation orale lundi, car cela signifie que je dois étudier tout le week-end!"
0,"Quelle journée amoureuse ensoleillée aujourd'hui! Honte, je travaille et pas dehors au soleil, je l'ai marre."
0,"Je lève les «top 50 chansons romantiques indonésiennes» que mon père vient d'acheter,"
0,À la recherche de quelque chose à manger ...
0,camarade. Elle est enfermée dans ses idéaux maintenant. Pas sa faute. Juste + ive renforcement de ses pairs. la honte. Je suis désolé pour elle.
0,Trier de nouveau le papier
0,Ce voyage en voiture m'a presque fini! Le vin me donne les pires gueules
0,Je n'ai même pas d'amis. Hahaha ugh!
0,Ma maison a disparu.
0,Hey ! Samedi matin mais ça ne va pas bien!
0,"Si tu vas passer un bon moment, je deviens jaloux des gens maintenant lol"
0,Aimer la photographie avec passion mais détestation des ventes. Être un artiste est une chose mais l'entreprise est de 95% des ventes / 5% art.
0,Je n'aime pas les examens pratiques
0,Marathon 10k au coucher du soleil à B'lore demain. Je le manquerai
0,"Pas de télé-siège ce vol, il ne s'agit que d'environ 50 minutes. @ Concours a"
0,"Fams, je suis trop Mais je veux dormir mais je ne peux pas"
0,Photo !!! nina conti ISAT orangaid? qui vient de me taquiner.
0,Mumsie est en Turquie ... si proche encore à ce jour ...
0,"Chère fille, tu sais que je t'aime, mais qui t'as dit, c'était absolument juste! Faire betta loea. Btw - vous ne me suis pas suivi?"
0,"Quelle belle journée c'est! Tout ce qui manque, c'est la bière froide"
0,Ha ha ha .. tats wonderful news !! Lokks comme vous les gars ont eu un bon moment .. Lucky u .. j'ai été coincé au bureau jusqu'à 2 dans la matinée ..
0,"Lol, je trouve encore le temps de le faire, même si j'ai eu des examens scolaires très bientôt"
0,C'est vraiment une bonne journée! Je suis vidé que je n'ai pas encore acheté de flip flops
0,Faire l'arrêt traditionnel en st. Joseph mcdonalds en route vers chicago. Aucun brownie ne fond-il?
0,Argh ... il pleut ... !!! le detesté ...
0,"Une petite maman. J'étais tryna t'embrasser, t'es laissé! Avoir un vol sécurisé & amp; En ce qui concerne hier, j'étais mort de fatigue."
0,Quand cette météo va-t-elle changer ???? Nous sommes passés de * dreary * à * drearier *. Je n'ai plus le soleil!
0,Besoin de suttin à faire après le travail
0,Sur le chemin du retour à la maison
0,"J'ai joué un peu de fuseball pour la première fois hier en 2 ans, je suis tellement inapte, pour prouver mon point sur lequel j'ai eu du mal au corps maintenant"
0,"Révision 'à nouveau, je ne peux pas voir de plaisir lors des prochains examens de jus de deux ou trois semaines"
0,"* Soupir * leno a eu son dernier spectacle la nuit dernière. Il est triste de le voir partir. Conan sera génial, il est aussi génial."
0,"Ce n'est pas cool, j'ai mangé un"
0,Je ne suis pas bon aujourd'hui
0,"Il rôtit encore aujourd'hui! La crème solaire est définitivement giflée aujourd'hui, a été brûlée par le soleil hier"
0,"C'est samedi et je travaille, je suis triste parce que ça me fait manquer Julie."
0,"J'aimerais vérifier spotify, mais il semble qu'il soit juste disponible en Europe"
0,Le numéro de téléphone ne sera pas transféré avant lundi ..
0,Besoin de faire plus de temps. Ou gérer le meilleur temps sur les 10 choses que je fais
0,Ne peut pas vous répondre dm si vous ne suivez pas
0,"Elle est tellement mignonne. Papa impie! Je vais bien, je dois étudier toute la journée pour un examen que j'ai demain et j'ai froid, le soleil s'est éteint"
0,??????? ????? ??? ???? ??? ??? ?? ??????????
0,au travail
0,Je suis tellement fatigué de vivre en Australie. Je veux absolument revenir à nz
0,... yardsale !!!! ... ils m'ont réveillé
0,Hm ... pourquoi mord-il pas envoyer mon pw? entretien?
0,Ce soir semble être une répétition de la nuit dernière ... c'est une merde ... personne à qui parler
0,"J'adore l'Irlande, mais je m'aime de booze & amp; Bonne compagnie aussi profite à tous | Danse épique et amp; Flip a cup por moi & lt; 3"
0,"Sérieusement, qu'est-ce que je vais faire maintenant? Dans mon temps libre, je lis toujours. C'est pourquoi j'ai fini les 4 livres en une semaine. Merde. Je manque bella & amp; Edward"
0,"Non, il ne peut pas être temps de se lever déjà"
0,"... alors encore, au moins espn asia a mis le jeu de roddick dès que le match de démentieva était terminé. Ils donnent toujours la priorité aux femmes"
0,Je ne vois pas les sacs à main enfermés. Qu'est-ce qui se passe? nouvelle maison?
0,Le texte prédictif est le diable. Mais aussi les doigts stubby
0,"Une journée ensoleillée, pas de travail, devrait être soit dans la randonnée pédestre de pointe, soit dans le hall de fircombe sur la côte ... au lieu de dinn ..."
0,J'aimerais beaucoup être à e3 la semaine prochaine et ne pas faire d'examens
0,Im sur pc à nouveau! Woot ...: -d mais je ne peux pas y aller jusqu'au jeudi officiellement
0,"Je vais en train de faire de la machine à tourner puis de prendre un bain de soleil un peu impatient de manger plus tard, même si je vais manquer le bgt! Haha"
0,je t'admire. Je ne peux pas arrêter
0,Je me suis contenté de dire que weweet n'émettra aucun de mes tweets à partir de mon téléphone. caca
0,"Oh mon Dieu, je recommande aujourd'hui ccbbbaaaa avec la révision aujourd'hui"
0,Je travaille tout à fait trop. 30 heures par semaine?!?! Et je suis étudiant avec senioritis ... au travail
0,Est un très grand décalage lorsque les gars jure trop
0,Je veux du chocolat ... mais je veux que mercydyandedioscasas soit plus que du chocolat car elle me rend plus heureuse que le chocolat ...
0,J'aimerais que vous venez. tu aurais dû.
0,"Mais c'est vraiment le manque de cachemire qui me fait mal à mon âme. Dik-dik pleure, énorme buggy yeux noirs à bord rouge."
0,Elle ne sait rien d'autre que d'agir comme si elle le savait tout!
0,Et j'ai encore un mal de tête
0,Je manque mon sis.
0,Je ne peux pas marcher: j'ai hmm en quelques heures six drapeaux et demain méxico
0,"La grotte actuelle n'est pas si mauvaise, la fenêtre est ouverte et le ventilateur de refroidissement est allumé. Le cc est incroyablement chaud, les clients n'hésitant pas à monter à l'étage"
0,"Rester à la maison, je n'ai pas envie de sortir"
0,"Eh bien, cela semble être amusant ... comment est la météo? Récemment l.a. A été raide & amp; couvert"
0,Quelle est la météo: o! (L) brûlé par le soleil x
0,huer! Je ne pouvais pas faire ma sieste ... à des voisins bruyants xxx
0,Le spectacle de ce soir de jay leno sera manqué - le dernier spectacle a été un grand & amp; Vous a fait savoir pourquoi il est - il est sorti dans le style - ugg yuck conan
0,Conduisant seul sur une nuit de samedi..est un peu solitaire hffff.wish vous étiez ici bo
0,Je pense que je pourrais être le premier à mourir de l'exposition à la lumière solaire liée à la gueule de bois
0,Est vraiment contrarié que je n'ai pas trop dit au revoir ...
0,Ok alors je commence à penser que cette chose de twitter n'est pas si cool. Je ne sais pas quelle est la grosse affaire. Personne ne répond
0,"Aujourd'hui, c'est le grand jour !!!! Sur le chemin de l'aéroport. Sortit la nuit dernière. Je dors tellement"
0,"Haha honte, arrivé hier hier, j'ai aussi un grand jardin ... je vais regarder Hannah Montanna aujourd'hui, haha!"
0,Profitez de votre dernier jour à l'étranger. Il semblera que des années se sont écoulées à cette heure la semaine prochaine ...
0,"Allait chercher des fraises avec ma belle-mère et moi-même; Aide-la avec son jardin, mais il pleut alors, jeremy prit la voiture au travail"
0,"Où es-tu, tu n'as pas été tout le matin, je m'ennuie"
0,"Hey hun, nooo tu n'as pas réveillé comme 10 minutes avant! Je n'ai pas eu la sieste ... les voisins passionnés! Donc vous sentez-vous fatigué, vous, bébé? Xxx"
0,"Tout le monde près de moi est une épave. Peu importe combien j'essaie d'aider, ça ne fonctionnera pas. Ils font que ma vie se sent comme si j'étais littéralement en enfer"
0,"Je dois recevoir mon courrier du bureau de poste, de ce jour et de l'âge, ils ne livrent toujours pas à la maison"
0,"Twhirl a des problèmes avec sa fonction de disparaître ... tweetdeck continue de s'écraser sur mon ordinateur portable, ne me plaisez pas à détruire ... autrement outher?"
0,"Vous ne l'obtenez pas, n'est-ce pas? Je ne peux pas. Et il ne le fera pas, alors vous devez le faire. Pardon."
0,J'ai besoin de beaucoup plus fort que la lavande (bien que j'aime) mais mon médecin privé a pris sa retraite
0,Et comme ça ... elle était partie.
0,Juste mangé un délicieux sandwich club! Retour à mes livres d'études
0,"Ok, je suis obsédé. Je regarde le dvd de la tournée des merveilles, chaque semaine 4 ou 5 fois. Je l'ai perdu. Mais je suis triste que je ne peux pas te voir en direct."
0,"Peut-être que c'est juste mon écran, mais tout le reste est parfait. Bien fait & amp; Excellent travail * muah *"
0,J'ai tellement envie de créer une bannière qui a déclaré que la déroute spatiale supporte susan g komen course pour la cure ... pas de temps ni de panneaux
0,Nooo! J'ai accidentellement supprimé la saison de vol de la !!
0,En regardant le chat en direct à partir du 28 mai maintenant xd l'a manqué sur facebook
0,Veuillez les désactiver.
0,J'ai totalement manqué mon grand jeu c'était le 13 avril. Mauvais fan :: smack :: bonjour
0,J'ai besoin de trouver une dernière pièce de soirée pour la fête de jade et je ne peux pas trouver là où aller sans elle
0,Je vois beaucoup cela aussi!
0,"Arr no, c'est la finale aussi pesez Joe me reprenant la vie encore, en train de m'arranger de mon bgt crave"
0,J'ai mal à la tête. Bla. Je dois ranger ma chambre.
0,Vous pourriez toujours revenir et vous accrocher avec ric et angelo
0,"Mon chien des tantes est mis en panne, il est aussi mon chien frère"
0,Je viens de rentrer chez moi d'acheter des fournitures scolaires et des articles pour l'école. : | Acck. Retourner à l'école? *pas une bonne idée*
0,"Essayé de sauver un pauvre petit gingembre qui avait été touché par une voiture, le vétérinaire ne pouvait pas le sauver, il fallait le faire baisser"
0,"Ressemble à de nouvelles douches demain, car vous ne le dérangez pas, c'est bon pour le jardin, je suppose."
0,Je suis en route vers les airpoi ne veux pas quitter mes parents mais je dois travailler
0,"Hey je ne suis pas un mauvais ami, je meurs"
